Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Аружан Махамбетова,24 марта 2025,"Отличный ресторан с приятной атмосферой и вкусной кухней. Блюда подают быстро, все свежее и хорошо приготовленное. Персонал вежливый и внимательный, создаёт уютную обстановку. Остались только положительные впечатления, обязательно вернёмся снова!
Огромное спасибо Амине за поздравления с днем рождение",5,Кульджа Хого,4.3,1434
Toma 🌸,24 марта 2025,"Обслуживание жақсы,таза,тамақтар уақытылы келді,ауызашарга курма мен жемистер жане су берды, уйымдастырылғаны қуантады🫰👍👍👍",5,Кульджа Хого,4.3,1434
Diaa Di,24 марта 2025,"не бронировали,не делали предзаказ поэтому ждали достаточно долго.
админ девушка объяснила тем что очень много предзаказов и вошла в нашу ситуацию так как муж держал оразу, все очень вкусно,ребята оперативно обслужили,однозначно вернемся еще раз!🫶🏻🙋🏻‍♀️",5,Кульджа Хого,4.3,1434
Alim Aliev,24 марта 2025,"Просто ужас , приходил вечером по ужинать , а тут Админша орет на весь зал не дает спокойно поесть",1,Кульджа Хого,4.3,1434
Apple User,24 марта 2025,Вкусно все,5,Кульджа Хого,4.3,1434
О🍁 👄,24 марта 2025,Қызымет көрсетуы нашар,1,Кульджа Хого,4.3,1434
Marzhan Kozhambekova,"23 марта 2025, отредактирован","Сильно пропахли, нет гардероба, туалет грязный и сильно воняет",2,Кульджа Хого,4.3,1434
Назерке Кобландиева,22 марта 2025,"Я сегодня была впервые, мне очень понравилось. Всем рекомендую 🙂‍↔️",5,Кульджа Хого,4.3,1434
Elnura Saken,22 марта 2025,Отличное обслуживание,5,Кульджа Хого,4.3,1434
К .,"22 марта 2025, отредактирован","первый раз побывала в таком месте и в первую очередь была приятно удивлена видом помещения изнутри, что больше напоминал ресторан, приятно глазам!

обслуживающий персонал с ходу здоровался, улыбался и поздравлял с наступающим праздником❤️ также официанты и администратор выглядели довольно опрятно и ухоженно!

благодарна Администратору Амине, которая учтиво отнеслась к нашему первому посещению такого рода заведения и понятно все объяснила, даже замешав интересный на вкус соус!

также отдельно благодарна официантам Карине и Бекзату, которые внимательно следили за жаровней, шустро доливая бульон и сменяя жарочную поверхность на новую, со свежим маслом☺️

также, под конец, хочу выразить благодарность за комплимент от заведения в виде баурсаков в честь праздника Наурыз!",5,Кульджа Хого,4.3,1434
